route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,0,SE,0
1,5,0,,0
2,5,0,,0
3,5,0,,0
4,5,1,S+SE,1
5,5,0,SW,0
6,5,0,S+SE,0
7,5,2,,3
8,5,0,,0
9,5,0,NE,0
10,5,0,NE,0
11,4,0,S+E,0
12,5,1,S,1
13,0,0,SW,0
14,5,1,,2
15,5,0,S+NE+SW,0
16,5,0,S+SE+E,0
17,5,0,NE+E,0
18,5,0,S+SE,0
19,5,1,E,1
20,5,0,S+E,0
21,0,0,S+E,0
22,5,0,S+E,0
23,5,0,,0
24,5,0,NE,0
25,5,0,SE+S,0
26,0,0,SE,0
27,5,1,,2
28,5,0,,0
29,4,1,SW,1
30,4,0,SE,0
31,5,0,,0
32,0,0,E+S,0
33,5,2,,3
34,4,0,S,0
35,4,0,SE,0
36,0,0,,0
37,5,0,SE,0
38,0,0,E+NE+S,0
39,4,0,S,0
40,4,0,S,0
41,5,0,,0
42,5,0,,0
43,0,0,,0
44,5,0,,0
45,0,0,E+NE+S,0
46,5,0,E+S,0
47,5,0,NE+SW,0
48,5,0,,0
49,5,0,S,0
50,4,0,SW,0
51,5,0,S+SW,0
52,5,0,,0
53,5,0,S+SW,0
54,5,0,,0
55,5,0,S+SE,0
56,4,0,S+SE,0
57,5,0,SW,0
58,5,0,S,0
59,0,0,SW,0
60,5,0,SW,0
61,5,0,S+SE+SW,0
62,5,0,S,0
63,5,0,S+SE,0
64,4,0,S+SW,0
65,5,0,S+SW,0
66,5,0,,0
67,5,0,,0
68,5,0,,0
69,5,0,S,0
70,0,0,SW+S,0
71,4,0,S+SE,0
72,0,0,E+S,0
73,5,0,S+SE,0
74,5,0,E,0
75,0,0,NE,0
76,4,0,S,0
77,5,0,S+SE,0
78,0,0,E+SE+SW,0
79,5,0,S+SE,0
80,4,0,S,0
81,0,0,S+SE,0
82,5,0,,0
83,5,0,,0
84,5,0,S+SE+SW,0
85,5,1,SW,1
86,0,0,SW+S+SE,0
87,5,0,,0
88,4,0,SW,0
89,5,0,S+SW,0
90,5,0,NE,0
91,5,0,SE,0
92,5,2,S,2
93,5,0,E+S,0
94,5,2,,3
95,4,0,S,0
96,5,0,SW,0
97,5,0,S,0
98,4,0,SE,0
99,0,0,NE+SE,0
100,5,0,SW,0
101,4,0,NE+E,0
102,0,0,SW+S,0
103,5,2,,3
104,4,0,S,0
105,5,1,S+SE,1
106,5,0,S+SW,0
107,0,0,S,0
108,4,0,S,0
109,5,0,S+NE,0
110,5,0,S+SW,0
111,5,0,S,0
112,4,0,NE+E,0
113,0,0,S+SW+E,0
114,5,2,,3
115,0,0,E+SE+NE,0
116,5,2,,3
117,5,0,S+E,0
118,5,0,NE,0
119,5,0,S,0
120,5,0,S,0
