route_index_global,rating_neu,rating_perill,rating_vent,rating_final
0,0,2,SE+N,0.0
1,5,2,N,1.5
2,5,1,,1.0
3,5,2,N,1.5
4,5,4,S+SE,3.5
5,5,2,NW,1.5
6,5,1,S+SE,0.5
7,5,4,N,3.5
8,5,2,N,1.5
9,5,3,N+NE,2.5
10,5,1,N+NE,0.5
11,0,3,S+E,0.0
12,5,3,S,2.5
13,0,1,N,0.0
14,5,3,NW+N,2.5
15,5,2,S+N+NE,1.5
16,5,2,S+SE+E,1.5
17,5,2,E+NE,1.5
18,5,2,S+SE+NW,1.5
19,5,3,E+N,2.5
20,5,2,S+E+N,1.5
21,0,1,S+E+N,0.0
22,5,2,S+E,1.5
23,5,2,N,1.5
24,5,1,N+NE,0.5
25,0,2,SE+S,0.0
26,0,3,SE,0.0
27,5,4,N,3.5
28,5,1,N,0.5
29,0,4,,0.0
30,0,3,SE,0.0
31,5,1,N,0.5
32,0,2,E+S,0.0
33,5,4,N,3.5
34,0,2,S,0.0
35,0,2,SE,0.0
36,0,3,NW,0.0
37,5,2,SE+NW+N,1.5
38,0,2,E+S+NE,0.0
39,0,2,S+NW,0.0
40,0,1,S+NW,0.0
41,5,2,N,1.5
42,5,1,NW,0.5
43,0,3,N,0.0
44,5,2,N,1.5
45,0,2,E+S+NE,0.0
46,5,2,E+S,1.5
47,5,2,N+NE,1.5
48,5,1,,1.0
49,5,2,S,1.5
50,0,1,,0.0
51,0,2,S,0.0
52,5,1,N,0.5
53,0,2,S,0.0
54,5,2,N,1.5
55,5,2,S+SE,1.5
56,0,2,S+SE,0.0
57,5,1,,1.0
58,0,2,S,0.0
59,0,1,NW,0.0
60,5,1,NW,0.5
61,0,2,S+SE,0.0
62,5,2,S,1.5
63,5,2,S+SE,1.5
64,0,2,S,0.0
65,0,2,S,0.0
66,5,1,NW,0.5
67,5,2,,2.0
68,5,1,N+NW,0.5
69,0,2,S,0.0
70,0,2,S,0.0
71,0,2,S+SE,0.0
72,0,2,E+S,0.0
73,5,2,S+SE,1.5
74,5,1,E+N,0.5
75,0,1,NW+N+NE,0.0
76,0,2,S+N,0.0
77,5,1,S+SE,0.5
78,0,2,E+SE,0.0
79,5,2,S+SE,1.5
80,0,2,S+N,0.0
81,0,2,S+SE+N,0.0
82,5,2,N,1.5
83,5,2,N,1.5
84,0,2,S+SE,0.0
85,5,3,,3.0
86,0,2,S+SE,0.0
87,5,2,,2.0
88,0,1,N,0.0
89,5,1,S,0.5
90,5,1,NW+NE,0.5
91,5,2,SE+N,1.5
92,5,3,S,2.5
93,5,2,E+S,1.5
94,5,4,N,3.5
95,0,3,S+NW,0.0
96,5,2,,2.0
97,0,2,S,0.0
98,0,3,SE,0.0
99,0,1,SE+NE,0.0
100,5,2,,2.0
101,0,2,E+N+NE,0.0
102,0,2,S,0.0
103,5,3,N,2.5
104,0,3,S,0.0
105,5,4,S+SE,3.5
106,5,3,S,2.5
107,0,3,S,0.0
108,0,3,S+N,0.0
109,5,2,S+N+NE,1.5
110,0,3,S,0.0
111,5,1,S+N,0.5
112,0,3,E+N+NE,0.0
113,0,3,S+E,0.0
114,5,4,N,3.5
115,0,2,E+SE+NE,0.0
116,5,4,N,3.5
117,5,2,S+E+N,1.5
118,5,1,N+NE,0.5
119,5,1,S+N,0.5
120,0,1,S,0.0
